Name,Description,User Name,Color,Duration,Minimum Scheduling Notice (hours),How far into the future can events be scheduled (days),Before Buffer Time,After Buffer Time,Event Type Link,Active,Secret,Daily Events Limit,Start Date,End Date,Another Event Button Content,Another Event Button Enabled,Invitees Limit,Lock Time Zone Content,Lock Time Zone Enabled,Notification Type,Reply Behavior,Kind,Blackout Days,Booking Autofill,UUID,Location,Question 1,Answer Choices 1
Check-in,,EmiratesNbd.com.sa,#e55cff,30,4,60,0,0,https://calendly.com/emiratesnbd-sa-com/check-in,Y,N,,,,Schedule another event,N,1,"",N,joint,default,One-on-One,"",N,b506bf54-a231-49c5-beca-4b1e23d3b54b,Google Meet,Please share anything that will help prepare for our meeting.,
Introductory call,,EmiratesNbd.com.sa,#ff758e,30,4,60,0,0,https://calendly.com/emiratesnbd-sa-com/introductory-call,Y,N,,,,Schedule another event,N,1,"",N,joint,default,One-on-One,"",N,35af7db1-05fa-49ab-b3d2-dd0189c5a2f6,Google Meet,Please share anything that will help prepare for our meeting.,
